OBJECTID,NAME,Division,acres,maptype
1,Adams Lake Park State Park,Parks,99.316716019426096,park
2,Adams Lake Prairie Ded Nat Pres Nature Preserve,Natural Areas and Preserves,25.976163334478461,park
3,Anderson Compass Plant Prairie Ded Nat Pres Nature Preserve,Natural Areas and Preserves,16.643095574776080,park
4,Betsch Fen Ded Nat Pres Nature Preserve,Natural Areas and Preserves,91.851418503317305,park
5,Bluejay Barrens Ded Nat Pres Nature Preserve,Natural Areas and Preserves,92.937777410723115,park
6,Bott Wa Wildlife Area,Wildlife,167.637896720649820,park
7,Broken Aro Wa Wildlife Area,Wildlife,2988.700962677972700,park
8,Brush Creek Forest State Forest,Forestry,13222.431002470114000,park
9,Buckeye Furnace Wa Wildlife Area,Wildlife,1016.338192407876000,park
10,Chaparral Prairie Ded Nat Pres Nature Preserve,Natural Areas and Preserves,70.020586787770597,park
11,Coalton Wa Wildlife Area,Wildlife,1736.868508855670400,park
12,Cooper Hollow Wa Wildlife Area,Wildlife,6165.079235187043200,park
13,Crooked Run Ded Nat Pres Nature Preserve,Natural Areas and Preserves,76.550851758588919,park
14,Crown City Wa Wildlife Area,Wildlife,11285.499891061487000,park
15,Davis Memorial Ded Nat Pres Nature Preserve,Natural Areas and Preserves,165.192854276833800,park
16,Dean Forest State Forest,Forestry,2800.918706738842000,park
17,Deer Creek Park State Park,Parks,237.789523217377450,park
18,Deer Creek Wa Wildlife Area,Wildlife,4374.594012790118500,park
19,East Fork Park State Park,Parks,7394.095159254186900,park
20,East Fork Refuge Wildlife Refuge,Wildlife,106.768752237515170,park
21,East Fork Wa Wildlife Area,Wildlife,3537.981156894796600,park
22,Fallsville Wa Wildlife Area,Wildlife,1785.083084476019400,park
23,Flint Run Wa Wildlife Area,Wildlife,625.021700393220390,park
24,Grant Lake Wa Wildlife Area,Wildlife,408.602387059034240,park
25,Great Seal Park State Park,Parks,1869.544461239186600,park
26,Hopewell Culture National Historical Park National Historic Park,,371.334350701005230,park
27,Indian Creek Wa Wildlife Area,Wildlife,1695.473019130736900,park
28,Jackson Lake Park State Park,Parks,104.590041195076950,park
29,Jackson Lake Wa Wildlife Area,Wildlife,0.229387483218437,park
30,Johnson Ridge Non-Ded Natural Area,Natural Areas and Preserves,225.967713765216440,park
31,K H Butler Wa Wildlife Area,Wildlife,9.903385886362052,park
32,Ka Ma Ma Prairie Ded Nat Pres Nature Preserve,Natural Areas and Preserves,85.158691802964853,park
33,Kincaid Springs State Fish Hatch,Wildlife,213.376754645472770,park
